draw,date,shift,demand_sample,total_cost,coverage_rate,shortfall
100,2025-10-29,morning,13.143631482719716,284.0,1.0,0.0
100,2025-10-29,night,49.01943271003753,944.0,1.0,0.0
101,2025-10-29,evening,66.67049721308587,1128.0,1.0,0.0
101,2025-10-29,morning,40.29441447824196,752.0,1.0,0.0
101,2025-10-29,night,45.72993128270121,752.0,1.0,0.0
102,2025-10-29,evening,42.657893522011555,752.0,1.0,0.0
102,2025-10-29,morning,34.825197809957146,660.0,1.0,0.0
102,2025-10-29,night,10.673387252246929,284.0,1.0,0.0
103,2025-10-29,evening,49.24152468484748,944.0,1.0,0.0
103,2025-10-29,morning,17.396181890309613,376.0,1.0,0.0
103,2025-10-29,night,60.47379298214705,1036.0,1.0,0.0
104,2025-10-29,evening,77.23155222830427,1320.0,1.0,0.0
104,2025-10-29,morning,17.86863801237176,376.0,1.0,0.0
104,2025-10-29,night,23.09853099765234,376.0,1.0,0.0
105,2025-10-29,evening,82.84455487872754,1412.0,1.0,0.0
105,2025-10-29,morning,43.40863048125523,752.0,1.0,0.0
105,2025-10-29,night,33.90327386704102,660.0,1.0,0.0
106,2025-10-29,evening,67.2128702458705,1128.0,1.0,0.0
106,2025-10-29,morning,55.96310485144505,944.0,1.0,0.0
106,2025-10-29,night,51.59145231661682,944.0,1.0,0.0
107,2025-10-29,evening,73.30523740337712,1320.0,1.0,0.0
107,2025-10-29,morning,20.73884653158467,376.0,1.0,0.0
107,2025-10-29,night,49.128806161174424,944.0,1.0,0.0
108,2025-10-29,evening,63.707734389396535,1036.0,1.0,0.0
108,2025-10-29,morning,44.82712460683268,752.0,1.0,0.0
108,2025-10-29,night,24.484145647847754,568.0,1.0,0.0
109,2025-10-29,evening,69.478804671343,1128.0,1.0,0.0
109,2025-10-29,morning,48.58689136029231,944.0,1.0,0.0
109,2025-10-29,night,36.7377061549899,660.0,1.0,0.0
110,2025-10-29,evening,51.40650366999149,944.0,1.0,0.0
110,2025-10-29,morning,13.491745394452906,284.0,1.0,0.0
110,2025-10-29,night,12.989768159281766,284.0,1.0,0.0
111,2025-10-29,evening,73.4025289799984,1320.0,1.0,0.0
111,2025-10-29,morning,15.114663576329452,284.0,1.0,0.0
111,2025-10-29,night,34.874409590336064,660.0,1.0,0.0
112,2025-10-29,evening,86.66275667948932,1412.0,1.0,0.0
112,2025-10-29,morning,42.70044834241871,752.0,1.0,0.0
112,2025-10-29,night,25.91827582400638,568.0,1.0,0.0
113,2025-10-29,evening,30.30619208536441,568.0,1.0,0.0
113,2025-10-29,morning,63.88172454026588,1036.0,1.0,0.0
113,2025-10-29,night,34.13480830195113,660.0,1.0,0.0
114,2025-10-29,evening,62.07850177933015,1036.0,1.0,0.0
114,2025-10-29,morning,59.92396584523418,1036.0,1.0,0.0
114,2025-10-29,night,20.37502521579681,376.0,1.0,0.0
115,2025-10-29,evening,72.4863131840602,1320.0,1.0,0.0
115,2025-10-29,morning,31.420138685517983,568.0,1.0,0.0
115,2025-10-29,night,42.8154605144591,752.0,1.0,0.0
116,2025-10-29,evening,77.44565117724679,1320.0,1.0,0.0
116,2025-10-29,morning,31.061375932920562,568.0,1.0,0.0
116,2025-10-29,night,7.949913448598987,284.0,1.0,0.0
117,2025-10-29,evening,37.06169889061376,660.0,1.0,0.0
117,2025-10-29,morning,61.95285958989561,1036.0,1.0,0.0
117,2025-10-29,night,59.941558924660164,1036.0,1.0,0.0
118,2025-10-29,evening,83.13462336561098,1412.0,1.0,0.0
118,2025-10-29,morning,10.206642556090321,284.0,1.0,0.0
118,2025-10-29,night,45.12306675218242,752.0,1.0,0.0
119,2025-10-29,evening,30.590348515554446,568.0,1.0,0.0
